,nextHop,ToA,DC,dataCollided,dataLost,ACKCollided,ACKLost,notReceiveACK,generated,receivedFrom
node0,gw,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0
node1,gw,152436.736,0.04234353777777778,1,1,0.0,0.0,0,2.0,2.0
node2,3,140083.20000000004,0.03891200000000001,0,0,0.0,0.0,1,0.0,0.0
node3,1,147152.89599999998,0.04087580444444444,0,1,0.0,0.0,1,5.0,4.0
node4,2,139255.80800000005,0.0386821688888889,2,2,1.0,1.0,1,1.0,1.0
node5,7,7897.088,0.0021936355555555553,0,0,1.0,1.0,1,4.0,3.0
node6,4,142884.86400000003,0.03969024000000001,0,0,1.0,1.0,3,0.0,0.0
node7,8,19103.744000000002,0.005306595555555556,0,0,0.0,0.0,0,4.0,4.0
node8,6,137093.12000000005,0.03808142222222224,1,1,1.0,1.0,1,7.0,7.0
node9,8,5922.816,0.0016452266666666666,0,0,0.0,0.0,0,3.0,2.0
node10,8,93601.792,0.026000497777777777,3,3,1.0,1.0,2,2.0,1.0
node11,10,96403.45600000002,0.026778737777777784,1,1,1.0,1.0,4,2.0,1.0
node12,11,75456.51199999997,0.020960142222222214,1,1,0.0,0.0,1,7.0,6.0
node13,11,9871.36,0.0027420444444444447,0,0,0.0,0.0,0,5.0,4.0
node14,12,61956.09599999997,0.01721002666666666,0,0,0.0,0.0,1,3.0,3.0
node15,14,13180.928,0.003661368888888889,0,0,0.0,0.0,0,1.0,1.0
node16,14,37060.608,0.010294613333333334,0,0,0.0,0.0,0,6.0,5.0
node17,15,7897.088,0.0021936355555555553,0,0,0.0,0.0,0,4.0,4.0
node18,16,21078.016000000003,0.005855004444444445,0,0,0.0,0.0,0,5.0,4.0
node19,18,7897.088,0.0021936355555555553,0,0,0.0,0.0,0,4.0,3.0
nodegw,,45506.56,0.01264071111111111,0,0,,,0,,
